指标,地区,数据时间,数值,所属栏目,相关报表,
粮食产量 (万吨),全国,2024年,70649.89,年度数据,相关报表,
粮食产量 (万吨),全国,2025年,71488,年度数据,相关报表,
人均粮食产量 (公斤),全国,2024年,501.43,年度数据,相关报表,
国有农场粮食总产量 (万吨),全国,2024年,4046,年度数据,相关报表,
粮食人均占有量 (公斤),全国,2024年,501.43,年度数据,相关报表,
粮食出口数量 (万吨),全国,2024年,226,年度数据,相关报表,
粮食出口数量 (吨),全国,2024年,2260000,年度数据,相关报表,
粮食单位面积产量 (公斤/公顷),全国,2024年,5921.09,年度数据,相关报表,
民族自治地方粮食产量 (万吨),全国,2024年,11975.61,年度数据,相关报表,
主要港口粮食进港量 (万吨),全国,2024年,18196,年度数据,相关报表,
主要港口粮食出港量 (万吨),全国,2024年,8070,年度数据,相关报表,
居民人均粮食消费量 (千克),全国,2024年,124.4,年度数据,相关报表,
主要港口粮食吞吐量 (万吨),全国,2024年,26267,年度数据,相关报表,
国家铁路粮食货物周转量 (亿吨公里),全国,2024年,1095.68,年度数据,相关报表,
农村居民人均粮食消费量 (千克),全国,2024年,148.6,年度数据,相关报表,
城镇居民人均粮食消费量 (千克),全国,2024年,106.7,年度数据,相关报表,